[15:47]	Test:	Добро пожаловать в чат!
[15:48]	Test:	Для отправки сообщения Ваш ник должен начинаться с большой буквы и содержать более 3 символов.
[15:48]	Test:	Допускается только латинские буквы в имени.
[15:54]	Test123:	А символы можно?
[15:55]	Test:	Нет, но можно использовать цифры.
[16:13]	Ilgiz:	Привет!
[16:15]	~:	Слабая валидация
[16:15]	русский ник, обана:	123
[16:15]	:	Пустой ник
[16:15]	~:	Слабая валидация
[16:15]	:	Пустой ник
[16:15]	:	Пустой ник
[16:16]	:	3234
[16:17]	:	џќ®††њѓѕў‘ƒыћ÷©₽°љ∆ђ≠µи™~≤
[16:18]	Gora:	3242342
